county,city,state,zipCode,georeference,streetName,streetNumber
Kings,BROOKLYN,NY,11218,POINT (-73.9772 40.63808),CORTELYOU RD,204
Nassau,WESTBURY,NY,11590,POINT (-73.56875 40.76215),PROSPECT AVENUE,846
Chenango,GREENE,NY,13778,POINT (-75.77374 42.33154),GENESEE ST,94
Onondaga,BALDWINSVILLE,NY,13027,POINT (-76.34781 43.15166),DOWNER STREET RD,2289
Kings,BROOKLYN,NY,11249,POINT (-73.9629 40.71825),NORTH 4TH STREET,40
New York,NEW YORK,NY,10018,POINT (-73.99047 40.7563),8TH AVE,625
Queens,SOUTH RICHMOND HIL,NY,11419,POINT (-73.82231 40.691),101 AVE,123-12
Columbia,ANCRAMDALE,NY,12503,POINT (-73.56879 42.0653),WILTSIE BRIDGE RD,90
Orange,NEW WINDSOR,NY,12553,POINT (-74.09056 41.48646),LITTLE BRITAIN RD,986
Erie,ORCHARD PARK,NY,14127,POINT (-78.78984 42.77835),SOUTHWESTERN BLVD,3856
Richmond,STATEN ISLAND,NY,10308,POINT (-74.15043 40.55146),GIFFORDS LANE,27
Westchester,PELHAM,NY,10803,POINT (-73.80499 40.92006),5TH AVE,605
Suffolk,MATTITUCK,NY,11952,POINT (-72.53835 40.9849),MAIN RD UNIT 5,10200
New York,NEW YORK,NY,10014,POINT (-74.00341 40.73197),BLEECKER STREET,285
Kings,BROOKLYN,NY,11232,POINT (-73.99576 40.64529),9TH AVE,4001
Kings,BROOKLYN,NY,11212,POINT (-73.90662 40.66873),MOTHER GASTON BLVD,420
Ulster,ELLENVILLE,NY,12428,POINT (-74.38246 41.73275),SHOP RITE BLVD,1
Bronx,BRONX,NY,10453,POINT (-73.90473 40.85864),W 183RD ST,19
Nassau,PORT WASHINGTON,NY,11050,POINT (-73.68515 40.82527),WILLOWDALE AVE,34
Kings,BROOKLYN,NY,11215,POINT (-73.97798 40.65655),PROSPECT AVE,589
Kings,BROOKLYN,NY,11234,POINT (-73.91418 40.61527),AVENUE U,6122
Erie,AKRON,NY,14001,POINT (-78.57674 43.00267),DAVISON RD,5725
Bronx,BRONX,NY,10474,POINT (-73.88845 40.81743),HUNTS POINT AVE,836
Queens,WHITESTONE,NY,11357,POINT (-73.80213 40.77982),FRANCIS LEWIS BLVD,20-21
Chemung,ELMIRA,NY,14903,POINT (-76.82474 42.12512),COLLEGE AVE,2110
Bronx,BRONX,NY,10451,POINT (-73.92783 40.81065),3RD AVE,2525
Sullivan,CALLICOON CENTER,NY,12724,POINT (-74.93406 41.85472),KELLER RD,77
Westchester,SCARSDALE,NY,10583,POINT (-73.80376 40.97337),WHITE PLAINS RD (AKA POST RD),751
Nassau,GLEN COVE,NY,11542,POINT (-73.62201 40.87314),FOREST AVE,93
Kings,BROOKLYN,NY,11235,POINT (-73.96123 40.57766),BRIGHTON BEACH AVE,606
Queens,FLUSHING,NY,11355,POINT (-73.82849 40.75584),MAIN STREET,41-79
Fulton,MAYFIELD,NY,12117,POINT (-74.26682 43.11027),STATE HIGHWAY 30,2460
New York,NEW YORK,NY,10024,POINT (-73.97089 40.7883),COLUMBUS AVENUE,594
Kings,BROOKLYN,NY,11213,POINT (-73.93436 40.664),SCHENECTADY AVE,401
Rockland,SPRING VALLEY,NY,10977,POINT (-74.05834 41.08315),CHESTNUT RIDGE ROAD STE  K   ,811
Orange,WASHINGTONVILLE,NY,10992,POINT (-74.15414 41.42495),HALLOCK DR,18
Kings,BROOKLYN,NY,11218,POINT (-73.97476 40.63589),DITMAS AVE,407
Kings,BROOKLYN,NY,11204,POINT (-73.99343 40.61591),18TH AVE,7015
Ontario,GENEVA,NY,14456,POINT (-76.9831 42.86799),CASTLE STREET,68
Bronx,BRONX,NY,10454,POINT (-73.91591 40.80616),138TH ST,600
Suffolk,HAMPTON BAYS,NY,11946,POINT (-72.50929 40.88262),E. MONTAUK HWY,226
Kings,BROOKLYN,NY,11230,POINT (-73.95732 40.61831),AVENUE M,1724
Kings,BROOKLYN,NY,11207,POINT (-73.91152 40.68573),BUSHWICK AVENUE,1341
Queens,JAMAICA,NY,11433,POINT (-73.79204 40.70548),168TH ST,92-33
Lewis,PORT LEYDEN,NY,13433,POINT (-75.34851 43.58737),STATE RT 12,3205
Kings,BROOKLYN,NY,11208,POINT (-73.87513 40.67232),SUTTER AVENUE,1161
Bronx,BRONX,NY,10455,POINT (-73.91612 40.81972),MELROSE AVE,689
Bronx,BRONX,NY,10474,POINT (-73.88342 40.81755),EDGEWATER RD,801
Rockland,CONGERS,NY,10920,POINT (-73.94052 41.15029),LAKE RD.,42
New York,NEW YORK,NY,10021,POINT (-73.95194 40.76933),YORK AVE,1431
Kings,BROOKLYN,NY,11207,POINT (-73.88773 40.65576),WORTMAN AVE,140
Kings,BROOKLYN,NY,11212,POINT (-73.90589 40.66777),SUTTER AVENUE,363
Erie,BUFFALO,NY,14227,POINT (-78.7871 42.87189),HARLEM RD,1051
Kings,BROOKLYN,NY,11213,POINT (-73.94163 40.67521),KINGSTON AVE,137
Kings,BROOKLYN,NY,11214,POINT (-73.98545 40.59687),86TH ST,2570
Richmond,STATEN ISLAND,NY,10301,POINT (-74.08749 40.63885),JERSEY ST,388
Suffolk,CORAM,NY,11727,POINT (-73.02318 40.90133),ROUTE 112,1671
Dutchess,MILLERTON,NY,12546,POINT (-73.51065 41.9537),MAIN ST,28
Queens,ASTORIA,NY,11103,POINT (-73.91297 40.76294),30TH AVE,42-10
Broome,VESTAL,NY,13850,POINT (-76.07807 42.07962),CASTLE GARDENS RD,1624
Columbia,VALATIE,NY,12184,POINT (-73.68447 42.41971),US-9,2827
Bronx,BRONX,NY,10456,POINT (-73.91252 40.83817),EAST 170TH STREET,230
Bronx,BRONX,NY,10472,POINT (-73.87709 40.82623),WATSON AVE,1549
Schoharie,JEFFERSON,NY,12093,POINT (-74.61019 42.48148),STATE ROUTE 10,1363
Wayne,ONTARIO,NY,14519,POINT (-77.32017 43.22728),ST RTE 104,1250
Erie,HAMBURG,NY,14075,POINT (-78.82942 42.71553),S BUFFALO ST,8
New York,NEW YORK,NY,10035,POINT (-73.93429 40.79757),1ST AVE,2301
Dutchess,BEACON,NY,12508,POINT (-73.96802 41.50472),MAIN ST,348
New York,NEW YORK,NY,10011,POINT (-74.00453 40.74216),NINTH AVE,75
Kings,BROOKLYN,NY,11216,POINT (-73.95374 40.67435),BEDFORD AVE,1426
Richmond,STATEN ISLAND,NY,10304,POINT (-74.08473 40.61447),TARGEE ST,514
Kings,BROOKLYN,NY,11204,POINT (-73.9838 40.6185),20TH AVENUE,6112
Queens,RIDGEWOOD,NY,11385,POINT (-73.91429 40.70817),ONDERDONK AVE,365
Westchester,MOUNT KISCO,NY,10549,POINT (-73.73072 41.20308),LEXINGTON AVE,145
Onondaga,SYRACUSE,NY,13204,POINT (-76.19742 43.05905),MILTON AVE,1207
New York,NEW YORK,NY,10031,POINT (-73.9479 40.82537),W 145TH STREET STORE 4,501
Nassau,FARMINGDALE,NY,11735,POINT (-73.44229 40.73378),CONKLIN ST,499
Kings,BROOKLYN,NY,11207,POINT (-73.89451 40.66122),NEW LOTS AVE,330
Genesee,CORFU,NY,14036,POINT (-78.40568 43.00458),ALLEGHANY RD,8420
Bronx,BRONX,NY,10452,POINT (-73.9177 40.83735),WALTON AVE,1296
Chenango,SHERBURNE,NY,13460,POINT (-75.50118 42.68421),N MAIN ST,51
Kings,BROOKLYN,NY,11214,POINT (-73.99329 40.60244),BAY PKWY,8501
Kings,BROOKLYN,NY,11213,POINT (-73.92755 40.67041),ST JOHNS PL,1534
Delaware,EAST BRANCH,NY,13756,POINT (-75.05931 41.94478),BURNWOOD RD,3432
Delaware,DELHI,NY,13753,POINT (-74.86921 42.30308),COUNTY HWY 18,2066
Queens,CORONA,NY,11368,POINT (-73.86018 40.74692),104TH ST,45-01
